DateTime,Year,Month,T0,T1,T2,T3,T4,T5,T6
12-Nov,12,11,1412.631365,1124.643629,496.0971006,1397.774086,2117.44157,10023.96814,21594.31265
12-Dec,12,12,1121.267378,678.3824848,301.7897896,985.8688148,2325.757882,5782.829544,14798.86385
13-Jan,13,1,978.0458616,459.6896163,183.5225372,717.7444361,904.1446679,3297.462202,6122.459808
13-Feb,13,2,801.4373159,354.7514897,179.4997489,1055.422967,1083.866313,2056.658146,3489.775437
13-Mar,13,3,838.3044629,343.415471,154.3411644,945.1613062,881.1561698,1761.135179,2479.427099
13-Apr,13,4,919.8530916,287.5177996,146.6311213,974.6771593,641.0008483,1427.015159,2021.968133
13-May,13,5,1481.958982,404.2783665,312.5267168,1946.610932,4864.41448,4161.754604,2473.451553
13-Jun,13,6,1480.858826,1330.856738,641.5788946,2350.140823,5163.837647,10847.97867,13940.08869
13-Jul,13,7,6781.706218,2818.932428,1097.986033,3184.696415,10641.20326,19270.3383,26948.44905
13-Aug,13,8,6847.224679,6799.767815,2414.822299,5710.752323,16363.76954,39058.1949,42757.51437
13-Sep,13,9,6108.260503,4827.483575,1582.561817,3431.038002,14591.5971,43280.65207,36413.72254
13-Oct,13,10,3205.31917,2554.756424,846.1794203,2399.286513,6671.413813,50818.76938,62421.67234
13-Nov,13,11,1972.537493,2858.001458,809.6573618,1864.616496,4189.444785,17014.00803,24479.74082
13-Dec,13,12,1284.372778,1071.119035,577.2487205,2049.54855,2982.991406,7103.170373,11944.75288
14-Jan,14,1,1098.11394,677.3061275,390.6877571,791.0113251,1832.135928,5467.745544,6893.328741
14-Feb,14,2,886.2931863,450.3805572,174.9959415,642.909128,699.1305376,2602.524292,3345.059735
14-Mar,14,3,903.6076608,428.2107448,170.1987543,1001.668564,587.2919463,1987.963998,2610.617616
14-Apr,14,4,910.9977388,349.9123657,155.735765,868.7634644,1288.826119,2000.128034,2842.985482
14-May,14,5,1265.208963,376.5890457,203.8723128,1586.797392,1929.278001,3461.998157,5079.545033
14-Jun,14,6,3289.297831,1368.117526,512.9038238,1758.952226,3940.635531,9587.696089,11827.67301
14-Jul,14,7,8210.655777,3890.629102,1678.12645,3687.855534,9419.291749,37500.38031,41415.05803
14-Aug,14,8,6980.91874,4402.400518,1826.864623,4119.378287,19474.88476,55217.00926,54291.40147
14-Sep,14,9,4955.989082,2471.045846,1159.129201,2968.472651,12188.67731,38613.71177,48864.013
14-Oct,14,10,2159.737589,1931.273639,890.988914,2147.194254,7843.924989,26989.75988,40934.36753
14-Nov,14,11,1597.902047,957.3640733,497.6351744,1415.781321,3234.089064,12769.34729,28176.28694
14-Dec,14,12,1185.577766,558.8193015,285.5697552,767.4945921,1319.955258,6214.197756,13159.565
15-Jan,15,1,1695.527033,2454.168245,524.997504,2040.085019,1356.34462,3228.937043,5384.383254
15-Feb,15,2,982.4454265,1087.808625,273.0905228,1005.222803,2160.930875,2489.492061,3910.711116
15-Mar,15,3,949.6945483,514.8423703,169.594668,716.7661315,824.9532117,2035.736909,2513.449092
15-Apr,15,4,1127.705582,446.8993448,230.6238558,1563.57863,1224.739096,1676.418778,1615.95868
15-May,15,5,1462.861,517.3095897,302.8630055,2201.273147,1390.705819,2753.535898,2823.706055
