water level (masl),reservoir volume (km?)
810,22.8484368
809,22.5198072
808,22.1946939
807,21.8730924
806,21.5551269
805,21.2407065
804,20.9299545
803,20.6227476
802,20.3190993
801,20.0189655
800,19.7223705
799,19.4292207
798,19.1394774
797,18.853128
796,18.5701113
795,18.2904426
794,18.0141336
793,17.7410043
792,17.4710934
791,17.2043721
790,16.9409007
789,16.6806963
788,16.4236167
787,16.1696943
786,15.9188499
785,15.6709584
784,15.4260387
783,15.1839783
782,14.9446665
781,14.7082041
780,14.4745074
779,14.2436331
778,14.0155947
777,13.7903418
776,13.5678717
775,13.3481214
774,13.1311647
773,12.9169269
772,12.7053243
771,12.4963236
770,12.2899914
769,12.0862737
768,11.8852317
767,11.6867151
766,11.4908688
765,11.2975146
764,11.1066084
763,10.9181358
762,10.732068
761,10.5482988
760,10.3668336
759,10.1876157
758,10.0106028
757,9.8357715
756,9.6630993
755,9.4926393
754,9.3242646
753,9.158094
752,8.9939295
751,8.831853
750,8.6718231
749,8.5138389
748,8.3578572
747,8.2038258
746,8.0517726
745,7.9016769
744,7.753428
743,7.6070988
742,7.4626272
741,7.3200708
740,7.1793909
739,7.0405695
738,6.9036723
737,6.7686867
736,6.635592
735,6.5043162
734,6.3748773
733,6.2473032
732,6.121566
731,5.9975505
730,5.8753305
729,5.7548466
728,5.6360799
727,5.5190241
726,5.4036981
725,5.2900074
724,5.1779187
723,5.0674104
722,4.9584942
721,4.8511152
720,4.7452536
719,4.640949
718,4.5381825
717,4.4369352
716,4.3371441
715,4.2388317
714,4.1419845
713,4.04658
712,3.9525372
711,3.859884
710,3.7686222
709,3.6787419
708,3.5901972
707,3.5029809
706,3.4170606
705,3.3324381
704,3.2490909
703,3.1670253
702,3.0862026
701,3.0066453
700,2.9282229
699,2.8510101
698,2.7750249
697,2.7002592
696,2.6267454
695,2.5545843
694,2.4836994
693,2.4140268
692,2.3456313
691,2.2785858
690,2.2127823
689,2.1483054
688,2.0851173
687,2.0232441
686,1.9625949
685,1.9031913
684,1.8449541
683,1.7878743
682,1.7319204
681,1.6770987
680,1.6233849
679,1.5707781
678,1.5192783
677,1.4688306
676,1.4193936
675,1.3709664
674,1.3235859
673,1.2772863
672,1.2320937
671,1.1880054
670,1.1450052
669,1.1030535
668,1.0621575
667,1.0222461
666,0.9832932
665,0.9452493
664,0.9080883
663,0.8718543
662,0.8364987
661,0.8020755
660,0.7685379
659,0.7358508
658,0.7040052
657,0.6729498
656,0.642753
655,0.6133986
654,0.584874
653,0.5571324
652,0.53019
651,0.5041026
650,0.4788045
649,0.4542363
648,0.4304079
647,0.4073607
646,0.3850065
645,0.3633201
644,0.3423258
643,0.3220632
642,0.302562
641,0.2837736
640,0.2656638
639,0.2482839
638,0.231579
637,0.2155023
636,0.2000403
635,0.1852308
634,0.1710396
633,0.157455
632,0.1445121
631,0.1321551
630,0.1204443
629,0.1093374
628,0.0988812
627,0.0890478
626,0.0798516
625,0.0712332
624,0.063225
623,0.0557505
622,0.0490275
621,0.0428895
620,0.0372042
619,0.0320076
618,0.0272709
617,0.0229077
616,0.0190944
615,0.0157536
614,0.0128025
613,0.0102159
612,0.0080127
611,0.0061227
610,0.0045558
609,0.0033039
608,0.0023193
607,0.0015831
606,0.0010773
605,0.0007164
604,0.0004644
603,0.0003006
602,0.0001998
601,0.0001323
600,0.0000873
599,0.0000576
598,0.0000423
597,0.0000279
596,0.0000162
595,0.0000081
594,0.0000036
593,0.0000018
