DateTime,Year,Month,Q1,Q2,Q5
12-Nov,12,11,800,1300,1300
12-Dec,12,12,832.7337944,1300,1300
13-Jan,13,1,832.7337944,1300,1308.132348
13-Feb,13,2,832.7337944,1300,1351.06378
13-Mar,13,3,832.7337944,1300,1309.774007
13-Apr,13,4,832.7337944,1300,1300
13-May,13,5,841.6397264,1300,2106.612217
13-Jun,13,6,2288.389412,3344.07864,3426.249878
13-Jul,13,7,4964.832718,5989.790087,9205.857741
13-Aug,13,8,6847.224679,12694.69643,16363.76954
13-Sep,13,9,6108.260503,10935.74408,14591.5971
13-Oct,13,10,3205.31917,5760.075593,6671.413813
13-Nov,13,11,4472.651347,1300,1906.184389
13-Dec,13,12,800,1585.17906,1677.598561
14-Jan,14,1,800,1557.639349,1594.868051
14-Feb,14,2,800,1300,2096.808127
14-Mar,14,3,800,1300,1300
14-Apr,14,4,832.6045768,1300,1582.347626
14-May,14,5,1053.124724,1370.856403,1300
14-Jun,14,6,3349.31614,5630.251235,2377.856495
14-Jul,14,7,7440.881454,8470.396803,5799.075521
14-Aug,14,8,6980.91874,11383.31926,18429.92667
14-Sep,14,9,4955.989082,7427.034928,12188.67731
14-Oct,14,10,2159.737589,4091.011229,7843.924989
14-Nov,14,11,800,1300,1746.197034
14-Dec,14,12,800,1300,1610.70898
15-Jan,15,1,800,2119.602676,1331.521948
15-Feb,15,2,835.3621227,2046.711351,1870.207441
15-Mar,15,3,880.8759851,1388.894923,1300
15-Apr,15,4,977.0506144,1448.361742,1536.623684
15-May,15,5,1158.126177,1667.478088,1646.298861
15-Jun,15,6,2316.415724,4313.474121,2460.971309
15-Jul,15,7,2770.085884,3658.851073,3672.23456
15-Aug,15,8,6195.930577,10175.57735,14451.94611
15-Sep,15,9,6440.467791,10478.66475,15048.26333
15-Oct,15,10,3658.229223,6331.461553,9647.732542
15-Nov,15,11,800,1300,2178.348874
15-Dec,15,12,834.3046323,1300,1783.830057
16-Jan,16,1,834.3046323,1470.745695,1332.372618
16-Feb,16,2,834.3046323,1809.760201,1429.490473
16-Mar,16,3,869.7523479,1376.715522,1490.34087
16-Apr,16,4,1146.271087,1629.35949,1300
16-May,16,5,1403.492514,2074.51689,1374.180225
16-Jun,16,6,2914.437714,5812.209587,3298.360214
16-Jul,16,7,9127.633147,11187.14423,5745.431186
16-Aug,16,8,5549.57662,10869.64403,12388.67264
16-Sep,16,9,4877.411869,8550.399839,14704.45361
16-Oct,16,10,3912.332814,6921.13999,8594.151611
16-Nov,16,11,800,1300,4029.965238
16-Dec,16,12,1180.629521,1745.876163,1908.952001
17-Jan,17,1,1133.520897,1852.64423,1632.561001
17-Feb,17,2,888.148787,1376.933211,1582.732517
17-Mar,17,3,961.9830837,1426.662322,1354.222064
17-Apr,17,4,1759.869663,2433.337858,1300
17-May,17,5,1165.644634,1682.773738,3251.804909
17-Jun,17,6,2625.862021,4468.403109,4082.19022
17-Jul,17,7,6408.807883,8143.485998,6658.53479
17-Aug,17,8,6629.32324,12132.01735,15179.43164
17-Sep,17,9,4810.621787,9748.947807,13423.48309
17-Oct,17,10,2911.040538,6181.681673,9735.174321
17-Nov,17,11,800,1300,2714.738664
17-Dec,17,12,800,1300,1792.336615
18-Jan,18,1,938.6685031,2185.243127,1439.347622
18-Feb,18,2,853.2282449,1360.944091,1317.06736
18-Mar,18,3,980.044768,1453.389721,1300
18-Apr,18,4,896.0287378,1332.589752,1300
18-May,18,5,1004.602047,1436.10243,2023.143524
18-Jun,18,6,2899.09644,5520.048561,3290.488178
18-Jul,18,7,8003.17154,9062.639586,6863.505957
18-Aug,18,8,8491.082869,14962.46561,16644.25546
18-Sep,18,9,9073.548468,14086.1142,15487.04129
18-Oct,18,10,4489.993583,7944.313383,6365.628842
