WaterLevel,Volume
1240,15.8843628
1239,15.671331
1238,15.460137
1237,15.2506746
1236,15.0429294
1235,14.8368897
1234,14.6326896
1233,14.4302085
1232,14.2294824
1231,14.030478
1230,13.8332079
1229,13.6376829
1228,13.4438787
1227,13.2517998
1226,13.0614372
1225,12.8727756
1224,12.6858348
1223,12.5006355
1222,12.3172173
1221,12.1355973
1220,11.9556423
1219,11.7774198
1218,11.6009604
1217,11.4262164
1216,11.2530816
1215,11.0816775
1214,10.9119924
1213,10.7441163
1212,10.5780663
1211,10.4137731
1210,10.251288
1209,10.0907028
1208,9.9319068
1207,9.7748892
1206,9.619704
1205,9.4663152
1204,9.3147192
1203,9.1648332
1202,9.0165609
1201,8.869905
1200,8.7249213
1199,8.5815351
1198,8.4397167
1197,8.299395
1196,8.1606474
1195,8.0233812
1194,7.8876027
1193,7.7532912
1192,7.6205115
1191,7.4892483
1190,7.3594143
1189,7.2310293
1188,7.1040942
1187,6.9786909
1186,6.8547483
1185,6.7322844
1184,6.611319
1183,6.4917981
1182,6.3737226
1181,6.2569629
1180,6.1416207
1179,6.0276879
1178,5.9151303
1177,5.804037
1176,5.6945466
1175,5.5866474
1174,5.480496
1173,5.3762076
1172,5.2739208
1171,5.1736743
1170,5.0756373
1169,4.9798602
1168,4.8863916
1167,4.7951163
1166,4.706226
1165,4.619718
1164,4.5357696
1163,4.4539668
1162,4.3742151
1161,4.2964083
1160,4.2204969
1159,4.1465142
1158,4.0744503
1157,4.0041774
1156,3.9353013
1155,3.867651
1154,3.8010258
1153,3.735333
1152,3.6705483
1151,3.6065898
1150,3.5434053
1149,3.481056
1148,3.4195266
1147,3.3588054
1146,3.2989041
1145,3.2398335
1144,3.1815702
1143,3.1241475
1142,3.0674988
1141,3.0116223
1140,2.9565279
1139,2.9021715
1138,2.8485801
1137,2.7957132
1136,2.7435924
1135,2.6922204
1134,2.6415558
1133,2.591577
1132,2.5423029
1131,2.4936777
1130,2.445723
1129,2.3984487
1128,2.3518269
1127,2.3057802
1126,2.2603752
1125,2.2155921
1124,2.1714561
1123,2.1279735
1122,2.0851209
1121,2.0428794
1120,2.0012445
1119,1.9602081
1118,1.9197819
1117,1.8800064
1116,1.840842
1115,1.8022932
1114,1.7643258
1113,1.7269731
1112,1.6902081
1111,1.6540137
1110,1.618344
1109,1.5832503
1108,1.5486822
1107,1.5146712
1106,1.4812371
1105,1.4483637
1104,1.4160267
1103,1.3841856
1102,1.3528314
1101,1.3219659
1100,1.2915873
1099,1.2617271
1098,1.2323196
1097,1.2034215
1096,1.1750238
1095,1.1471256
1094,1.1197188
1093,1.0928592
1092,1.0664793
1091,1.0405575
1090,1.0150668
1089,0.9900126
1088,0.965367
1087,0.9411354
1086,0.917325
1085,0.8939412
1084,0.8709651
1083,0.8483652
1082,0.8261253
1081,0.8042418
1080,0.7826931
1079,0.7615089
1078,0.7406334
1077,0.7200927
1076,0.6998661
1075,0.6799617
1074,0.6603984
1073,0.6411627
1072,0.6222672
1071,0.6036993
1070,0.5854446
1069,0.5675013
1068,0.5498739
1067,0.5325354
1066,0.5154849
1065,0.4987206
1064,0.4822542
1063,0.4660992
1062,0.4502169
1061,0.4346316
1060,0.4193262
1059,0.404343
1058,0.3896829
1057,0.3753531
1056,0.3612834
1055,0.3474873
1054,0.3339909
1053,0.3208158
1052,0.3079746
1051,0.2954457
1050,0.2832516
1049,0.2713635
1048,0.2597553
1047,0.24849
1046,0.2375559
1045,0.2269431
1044,0.216639
1043,0.2066553
1042,0.1969866
1041,0.1876005
1040,0.1784988
1039,0.1696572
1038,0.161064
1037,0.1527201
1036,0.1446552
1035,0.1368486
1034,0.1292949
1033,0.1219545
1032,0.1148634
1031,0.1079892
1030,0.1013598
1029,0.0949941
1028,0.0888849
1027,0.0830241
1026,0.0773937
1025,0.0719973
1024,0.0668142
1023,0.0619137
1022,0.0572661
1021,0.0528336
1020,0.0485991
1019,0.0445608
1018,0.0407304
1017,0.037071
1016,0.0335952
1015,0.0303003
1014,0.0271764
1013,0.024219
1012,0.0214227
1011,0.018792
1010,0.016335
1009,0.0140544
1008,0.0119691
1007,0.0100935
1006,0.0084375
1005,0.007011
1004,0.0058077
1003,0.0047718
1002,0.0038853
1001,0.0031266
1000,0.0024966
999,0.0019719
998,0.0015507
997,0.0011853
996,0.0008973
995,0.0006597
994,0.0004779
993,0.0003357
992,0.0002367
991,0.0001602
990,0.0001044
989,0.0000693
988,0.0000432
987,0.0000252
986,0.0000171
985,0.0000099
984,0.0000063
983,0.0000036
982,0.0000018
981,0.0000009
